"중복관련표기","연번","사용대상","유형별","학교급","학교급-하위","자료명","자료소개(자료 내 문장 활용)","발행기관","자료링크","발행연도","연계자료 여부","연계자료 연번 ","연계자료 대상","자료활용자","자료활용자(주의사항 및 참고사항 표기)","연계자료가 있는경우, 행추가하여 바로 아래 행에 기록바랍니다!
연번란은 비워두면 제가 1-1,1-2 순으로 정리하겠습니다.","","","","","","","","","","","",""
"","1","유가족, 누구나","포스터","모든 학교","","애도반응의 이해와 마음안정가이드","심리적 상실감을 겪고 있는 유가족의 건강한 애도와 마음안정을 위한 자료입니다.
포스터 게시용으로 제작되었으며, 안정화 지원을 위한 QR코드가 포함되어 있습니다.","국가트라우마센터","https://www.nct.go.kr/serviceCenter/noticeDetail.do?currentPageNo=2&refnceSeq=953&searchKeyword1=","2025~","없음","","","누구나","","","","","","","","","","","","","",""
"","2","교사","심리검사","모든 학교","","교원 맞춤형 심리검사","인터넷상에서 즉시 확인가능한 교원대상 심리검사자료입니다.
교원고유의 업무환경과 조직문화를 고려하여 스트레스 트라우마, 소진 등 교사가 겪는 심리정서적 어려움을 확인할 수 있습니다.","한국교육개발원
교육활동보호센터","https://forteacher.kedi.re.kr/mindcare/main/main.do","2025~","없음","","","누구나","검사결과상 상담권고 또는 주의군에 해당 시, 충남교육청 교육활동보호센터 활용바랍니다(권장).","","","","","","","","","","","","",""
"폭력피해(2번)","3","학생","심리검사","모든 학교","","아동청소년 재난 정신건강 평가도구집","심리적 외상 이후 지원이 필요한 고위기 학생 선별을 위해 사용 가능한 도구 모음집","국가트라우마센터
(서울시Weepl탑재)","https://weepl.sen.go.kr/heartinfo/dataInfoDetail.do?mindHlthInfoNo=209&orderBy=FRST_JOB_DT&searchOption=titleContent&searchWord=&contsType=&mtCd=&htnCdList=","2020~2024","","","","누구나","결과 확인 후 정서지원 필요 시 전문상담인력과 협의 바랍니다.","","","","","","","","","","","","",""
"위기(3번)","4","학생","심리검사","모든 학교","","고위기학생 선별 도구 모음","자살,PTSD,우울, 불안 관련 선별도구 모음 자료 입니다.
자살요인(학생,8~19세), PTSD(아동 및 보호자(아동대상보고), 청소년)으로 구성되어 있습니다. ","서울Weepl","https://weepl.sen.go.kr/heartinfo/dataInfoDetail.do?mindHlthInfoNo=197&orderBy=FRST_JOB_DT&searchOption=titleContent&searchWord=&contsType=&mtCd=&htnCdList=","2020~2024","없음","","","누구나","결과 확인 후 정서지원 필요 시 전문상담인력과 협의 바랍니다.","","","","","","","","","","","","",""
"위기(9번)","5","학생","동영상","모든 학교","","사회정서교육 영상자료(감정을 조절하는 자세 및 호흡법)","바디스캔, 나비포옹법, 근육이완법과 다양한 호흡법을 직접 따라 하며 긴장된 몸과 마음을 안정시키고 감정을 조절하는 방법을 익히는 동영상 교육자료입니다.","서울Weepl","https://weepl.sen.go.kr/heartinfo/dataInfoDetail.do?mindHlthInfoNo=201&orderBy=FRST_JOB_DT&searchOption=titleContent&searchWord=&contsType=&mtCd=&htnCdList=","2025~","없음","","","누구나","","","","","","","","","","","","","",""
"","6","교사","동영상","모든 학교","","교사를 위한 아동학대 대처 및 회복지원 연수 - 외상 후 스트레스 장애에 대해 알기","트라우마와 외상 후 스트레스 장애의 원인과 주요 증상을 이해하고, 위험요인과 치료 방법을 알아보며 아동을 적절히 지원하는 방법을 배우는 교사 대상 동영상 교육자료입니다.","교육부지원학생정신건강지원센터","https://www.youtube.com/watch?v=hhCqvaaRaGY","2015~2019","없음","","","누구나","","","","","","","","","","","","","",""
"","7","학생","교육자료","초등","초등 저학년, 초등 고학년","서울시교육청 초등용 사후안정화 프로그램","서울시교육청 서울통합Wee센터에서 개발한 자료로, 상실과 트라우마 등을 경험한 초등학생의 심리적 안정과 회복을 지원하기 위해 학교에서 활용할 수 있도록 구성한 사후안정화 프로그램입니다","서울특별시교육청","https://buseo.sen.go.kr/buseo/bu15/user/bbs/BD_selectBbs.do?q_rowPerPage=10&q_currPage=11&q_sortName=&q_sortOrder=&q_searchKeyTy2=1005&q_searchStartDt=&q_searchEndDt=&q_bbsSn=1331&q_bbsDocNo=20240326110942271&q_searchKeyTy=ttl___1002&q_searchVal=&","2020~2024","없음","","","전문인력","프로그램에 대해 충분히 숙지된 위(Wee) 센터, 위(Wee) 클래스 전문상담(교)사 등이 활용할 수 있습니다.","","","","","","","","","","","","",""
"","8","학생","교육자료","모든 학교","","서울특별시교육청 청소년용 사후안정화교육 자료","서울특별시교육청에서 개발한 자료로, 상실과 트라우마 등을 경험한 청소년의 심리적 안정과 회복을 지원하기 위해 학교에서 활용할 수 있도록 구성한 사후안정화 프로그램입니다","서울특별시교육청","https://buseo.sen.go.kr/buseo/bu15/user/bbs/BD_selectBbs.do?q_rowPerPage=10&q_currPage=24&q_sortName=&q_sortOrder=&q_searchKeyTy2=1005&q_searchStartDt=&q_searchEndDt=&q_bbsSn=1331&q_bbsDocNo=20220304165557000&q_searchKeyTy=ttl___1002&q_searchVal=&","2020~2024","없음","","","전문인력","프로그램에 대한 교육 및 숙지가 완료된 상담자라면 누구나 실시할 수 있습니다. 다만, 자살의 당사자인 학생을 상담한 상담자와 같이 당사자와 직접적인 정서적 상호작용이 있었던 사람은 실시할 수 없습니다.","","","","","","","","","","","","",""
"","9","교사","동영상","모든 학교","","[위닥터] 외상 후 스트레스 장애! 어떻게 이겨낼수 있을까?","위닥터에서 제작한 영상으로, 화재 사고 사례를 통해 청소년 외상 후 스트레스 장애의 주요 증상과 회복 과정, 전문적인 치료 방법을 설명합니다. 보호자와 교사가 안정적인 환경과 일상을 회복하도록 돕는 방법, 상담 시 유의점과 전문기관 연계 필요성을 안내합니다.","Wee Doctor
(서울Weepl 탑재)","https://weepl.sen.go.kr/heartinfo/videoInfoDetail.do?mindHlthInfoNo=27&orderBy=FRST_JOB_DT&searchOption=titleContent&searchWord=&contsType=&mtCd=&htnCdList=","2020~2024","없음","","","전문인력","","","","","","","","","","","","","",""
"위기(22번)","10","누구나","포스터","모든 학교","","마음을 안정시키는 안정화기법","국가트라우마센터에서 제작한 자료로, 트라우마 이후 나타날 수 있는 우울과 불안 등 다양한 심리적 불편감에 대처하는 방법을 안내합니다. 언제 어디서든 간단하게 따라 하며 몸과 마음을 편안하게 안정시킬 수 있는 안정화 기법을 소개합니다.","국가트라우마센터
(서울Weepl 탑재)","https://www.mentalhealth.go.kr/portal/bbs/bbsDetail.do?bbsId=BBSINIT_6&nttId=518","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"","11","교사","기타","모든 학교","","지진 후 교사를 위한 대처 자료","학생정신건강지원센터에서 제작한 자료로, 외상성 사건 이후 나타날 수 있는 일반적인 심리 반응을 안내합니다. 신체적·정서적 반응을 보이는 학생과 대화하는 방법과 긴장 완화 연습 등 재난 이후 학생의 심리·정서적 회복을 지원하는 방안을 소개합니다.","학생정신건강지원센터
(서울Weepl 탑재)","https://weepl.sen.go.kr/heartinfo/dataInfoDetail.do?mindHlthInfoNo=148&orderBy=FRST_JOB_DT&searchOption=titleContent&searchWord=&contsType=&mtCd=&htnCdList=","2020~2024","없음","","","전문인력","","","","","","","","","","","","","",""
"","12","누구나","기타","모든 학교","","외상 후 스트레스 장애(리플릿)","학생정신건강지원센터에서 제작한 자료로, 외상 후 스트레스 장애의 개념과 외상 사건 이후 나타날 수 있는 신체적·정서적·행동적 반응을 안내합니다. 또한 증상이 지속되거나 일상생활에 어려움이 생겼을 때 도움을 받을 수 있는 전문기관과 지원 방법을 소개합니다.
","학생정신건강지원센터
(서울Weepl 탑재)","https://weepl.sen.go.kr/heartinfo/dataInfoDetail.do?mindHlthInfoNo=145&orderBy=FRST_JOB_DT&searchOption=titleContent&searchWord=&contsType=&mtCd=&htnCdList=","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"","13","누구나","카드뉴스 및 뉴스레터","모든 학교","","재난사고에서 학생의 마음건강돌보기","학생정신건강지원센터에서 제작한 뉴스레터 자료로, 재난 사고 이후 학생들이 경험할 수 있는 슬픔과 충격, 불안 등 다양한 스트레스 반응을 안내합니다. 또한 스트레스 상황에 취약한 학생들이 자신의 반응을 이해하고 감정을 안정적으로 조절할 수 있도록 실천 방법을 소개합니다.","학생정신건강지원센터
(서울Weepl 탑재)","https://weepl.sen.go.kr/heartinfo/dataInfoDetail.do?mindHlthInfoNo=135&orderBy=FRST_JOB_DT&searchOption=titleContent&searchWord=&contsType=&mtCd=&htnCdList=","2020~2024","없음","","","전문인력","","","","","","","","","","","","","",""
"","14","누구나","카드뉴스 및 뉴스레터","모든 학교","","교사용 뉴스레터 - 학교에서 예기치 못한 사고가 발생했을때, 어떻게 대처해야 하나요?","학생정신건강지원센터에서 제작한 뉴스레터 자료로, 학교에서 응급상황이 발생했을 때 학생과 교직원에게 나타날 수 있는 다양한 반응과 그 원인을 안내합니다. 또한 혼란스러운 학교 응급상황 속에서 구성원의 안전과 심리적 안정을 돕기 위해 활용할 수 있는 실질적인 대응 방법과 유용한 팁을 소개합니다.","학생정신건강지원센터
(서울Weepl 탑재)","https://weepl.sen.go.kr/heartinfo/dataInfoDetail.do?mindHlthInfoNo=138&orderBy=FRST_JOB_DT&searchOption=&searchWord=&contsType=T&mtCd=&htnCdList=","2020~2024","없음","","","전문인력","","","","","","","","","","","","","",""
"","15","보호자, 교사","카드뉴스 및 뉴스레터","모든 학교","","누구나 할 수 있는 심리적 응급처치(PFA) 보고 듣고 연결하기","심리적 응급처치(PFA)를 숙지하고 있으면 위기상황에서 보다 유연하게 대응할 수 있도록 누구나 할 수 있는 심리적 응급처치는 3L(보고, 듣고, 연결하기)를 웹포스터와 카드뉴스로 소개합니다.","국립정신건강센터","https://www.ncmh.go.kr/ncmh/board/commonView.do?no=4699&fno=112&bn=newsView&depart=&menu_cd=04_01_00_01&bno=&pageIndex=1&search_item=&search_content=","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"","16","학생","교육자료","모든 학교","","학생 애도교육 자료(More than Sad)"," 학생을 대상으로 진행할 수 있는 애도교육 내용을 담은 자료입니다. ","학생마음건강중앙지원단","https://www.smhrc.kr/dataCenter/dataView?pageNo=1&dataId=333&searchKeyword=&categoryArr=%ED%95%99%EA%B5%90%EC%9C%84%EA%B8%B0%EA%B0%9C%EC%9E%85","2015~2019","없음","","","누구나","","","","","","","","","","","","","",""
"","","보호자","교육자료","중등(중,고)","","부모교육 자료1
교실에서 슬픔에 빠진 학생들을 대할 때","부모교육 자료1 - 교실에서 슬픔에 빠진 학생들을 대할 때'라는 주제로 보호자 강의자료의 내용을 요약한 자료입니다. ","학생마음건강중앙지원단","https://www.smhrc.kr/dataCenter/dataView?pageNo=4&dataId=107&searchKeyword=&categoryArr=%ED%95%99%EA%B5%90%EC%9C%84%EA%B8%B0%EA%B0%9C%EC%9E%85","2015~2019","있음","17-2
17-3
17-4","","","단원고등학교 응급심리지원 시 정운선 학생정신건강지원센터장이 강의한 부모교육 자료입니다. 사용시 출처표기 바랍니다.","","","","","","","","","","","","",""
"","","보호자","교육자료","중등(중,고)","","부모교육자료2
청소년들의 애도 반응을 위한 여섯가지 기본 원칙","부모교육 자료2 - 청소년들의 애도 반응을 위한 여섯가지 기본 원칙'라는 주제로 보호자 강의자료의 내용을 요약한 자료입니다. ","학생마음건강중앙지원단","https://www.smhrc.kr/dataCenter/dataView?pageNo=4&dataId=108&searchKeyword=&categoryArr=%ED%95%99%EA%B5%90%EC%9C%84%EA%B8%B0%EA%B0%9C%EC%9E%85","2015~2019","있음","17-1
17-3
17-4","","","단원고등학교 응급심리지원 시 정운선 학생정신건강지원센터장이 강의한 부모교육 자료입니다. 사용시 출처표기 바랍니다.","","","","","","","","","","","","",""
"","","보호자","교육자료","중등(중,고)","","부모교육자료3
How to help a grieving child","부모교육 자료3 - How to help a grieving child'라는 주제로 보호자 강의자료의 내용을 요약한 자료입니다. ","학생마음건강중앙지원단","https://www.smhrc.kr/dataCenter/dataView?pageNo=4&dataId=109&searchKeyword=&categoryArr=%ED%95%99%EA%B5%90%EC%9C%84%EA%B8%B0%EA%B0%9C%EC%9E%85","2015~2019","있음","17-1
17-2
17-4","","","단원고등학교 응급심리지원 시 정운선 학생정신건강지원센터장이 강의한 부모교육 자료입니다. 사용시 출처표기 바랍니다.","","","","","","","","","","","","",""
"","","보호자","교육자료","중등(중,고)","","부모교육자료4
죽음이 학교를 강타했을때 교실에서 grieving students를 맞는 방법","부모교육자료4 - 죽음이 학교를 강타했을때 교실에서 grieving students를 맞는 방법","학생마음건강중앙지원단","https://www.smhrc.kr/dataCenter/dataView?pageNo=4&dataId=110&searchKeyword=&categoryArr=%ED%95%99%EA%B5%90%EC%9C%84%EA%B8%B0%EA%B0%9C%EC%9E%85","2015~2019","있음","17-1
17-2
17-3","","","단원고등학교 응급심리지원 시 정운선 학생정신건강지원센터장이 강의한 부모교육 자료입니다. 사용시 출처표기 바랍니다.","","","","","","","","","","","","",""
"","18","","","중등(중,고)","","","","","","","","","","","","","","","","","","","","","","","",""
"","19","학생","기타","모든 학교","","자살사건 사후개입 리플릿","자살사건 이후 학생이 보일 수 있는 정신건강 문제에 대한 안내자료입니다.","학생마음건강중앙지원단","https://www.smhrc.kr/dataCenter/dataView?pageNo=5&dataId=229&searchKeyword=&categoryArr=%ED%95%99%EA%B5%90%EC%9C%84%EA%B8%B0%EA%B0%9C%EC%9E%85","2015~2019","없음","","",""," 사용시 출처표기 바랍니다.","","","","","","","","","","","","",""
"","20","학생","기타","모든 학교","","학생정서교육 플래시 동영상 시리즈 : 애도반응의 이해","학생이 애도반응을 이해할 수 있도록 만든 동영상 자료 입니다.","학생건강정보센터","https://www.schoolhealth.kr/web/search/selectTotalSearchList.do?bbsId=&lstnum1=2661&pageIndex=1&pageUnit=10&sortOrder=&searchWrd=%ED%95%99%EC%83%9D%EC%A0%95%EC%84%9C%EA%B5%90%EC%9C%A1+%ED%94%8C%EB%9E%98%EC%8B%9C","2015~2019","없음","","","누구나","","","","","","","","","","","","","",""
"","21","누구나","카드뉴스 및 뉴스레터","모든 학교","","코로나19 대응을 위한 일상 속 마음돌봄 챌린지","코로나19로 지친 아동·청소년의 몸과 마음을 회복하기 위한 일상 속 마음돌봄 챌린지 프로그램입니다.
호흡살펴보기, 바디스캔, 점진적 근육이완법 등 3가지 호흡·이완 프로그램으로 구성되어 있습니다.","충청남도광역정신건강복지센터
(충청남도교육청 누리집 탑재)","학생생활자료실","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"","22","교사","교육자료, 활동지","모든 학교",""," 오늘 마주봄(ppt, 활동지)","생명존중 의식을 높이고 위기 대응 능력을 기르기 위해 제작된 생명존중 교육 프로그램 매뉴얼입니다. 총 6회기로 구성되어 있으며, 3~4회기에는 자살·자해 위기 신호 이해와 도움 요청 방법이, 6회기에는 상실감 이해 및 애도 과정을 다루는 사후 안정화 내용이 포함되어 있습니다. 일반군부터 고위기군까지 적용 가능하며 다양한 형태로 활용할 수 있습니다.","충청남도교육청 / 호시담","http://www.cne.go.kr/boardCnts/view.do?boardID=877&boardSeq=2292732&lev=0&searchType=null&statusYN=W&page=3&s=cne&m=082203&opType=N","2020~2024","있음","","","누구나","","","","","","","","","","","","","",""
"","","교사","교육자료","모든 학교","","오늘 마주봄(안내서)","오늘 마주봄 안내서입니다.","충청남도교육청 / 호시담","학생정신건강증진센터","2020~2024","","","","","","","","","","","","","","","","","",""
"위기 15-1과 함께 
안내되어있음","24","교사","기타","모든 학교","","학생응급심리지원_안내문 및_리플릿(경남교육청)","학생 자살 등 학교 위기상황 발생 시, 학교응급심리지원을 통해 학교 운영 정상화를 지원을 위한 업무절차를 안내합니다.
(학생 사망 사안 가정통신문: 학생 사망 사안 발생 시, 보호자 대상 가정통신문 예시 안내가 포함되어 있습니다)","경상남도 교육청","경남교육청 : HOME > 민주시민교육과 > 자료실 - 상세","2020~2024","없음","","교사","","","","","","","","","","","","","","",""
"","25","누구나","카드뉴스 및 뉴스레터","모든 학교","","(카드뉴스) 소아청소년 애도반응 돕기","소아·청소년의 건강한 애도와 마음 안정을 위하여 「소아·청소년 애도반응 돕기」 카드뉴스입니다.","국립정신건강센터 국가트라우마센터","자료실 > 공지사항 게시물 보기 | 국가트라우마센터","2025~","없음","","","누구나","","","","","","","","","","","","","",""
"","26","누구나","동영상, 기타","모든 학교","","안정화 기법","스스로 해볼 수 있는 마음을 안정시키는 방법을 소개합니다.","재난 정신건강지원 정보콘텐츠 및 플랫폼 개발 연구(보건복지부 정신건강기술개발사업)","안정화 기법 > 소개 | 국가트라우마센터","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
