"중복관련표기","연번","사용대상","유형별","학교급","학교급-하위","자료명","자료소개(자료 내 문장 활용)","발행기관","자료링크","발행연도","연계자료 여부","연계자료 연번 ","연계자료 대상","자료활용자","자료활용자(주의사항 및 참고사항 표기)","연계자료가 있는경우, 행추가하여 바로 아래 행에 기록바랍니다!
연번란은 비워두면 제가 1-1,1-2 순으로 정리하겠습니다.","","","","","","","","","",""
"폭력피해(19번)","1","교사","교육자료, 활동지","모든 학교","","학교폭력 보호자 특별교육 프로그램","학교폭력 가해학생 보호자의 역할 점검과 대처능력 향상을 돕는 총 20회기(기본 13회기, 심화 7회기)의 프로그램입니다.
마음알기(감정 이해), 이해하기(발달단계), 돌아보기(양육태도와 의사소통) 등의 단계로 구성되어 있습니다.","충청남도교육청","http://www.cne.go.kr/boardCnts/view.do?boardID=877&boardSeq=2293408&lev=0&searchType=S&statusYN=W&page=1&s=cne&m=082203&opType=N&superSeq=&tabType=null","2020~2024","","","","누구나","","","","","","","","","","","",""
"위기(46번)
사후안정화(22번)","2","교사","교육자료, 활동지","모든 학교",""," 오늘 마주봄(ppt, 활동지)","생명존중 의식을 높이고 위기 대응 능력을 기르기 위해 제작된 생명존중 교육 프로그램 매뉴얼입니다. 총 6회기로 구성되어 있으며, 3~4회기에는 자살·자해 위기 신호 이해와 도움 요청 방법이, 6회기에는 상실감 이해 및 애도 과정을 다루는 사후 안정화 내용이 포함되어 있습니다. 일반군부터 고위기군까지 적용 가능하며 다양한 형태로 활용할 수 있습니다.","충청남도교육청 / 호시담","http://www.cne.go.kr/boardCnts/view.do?boardID=877&boardSeq=2292732&lev=0&searchType=null&statusYN=W&page=3&s=cne&m=082203&opType=N","2020~2024","있음","","","누구나","","","","","","","","","","","",""
"","","교사","기타","모든 학교","","오늘 마주봄(안내서)","오늘 마주봄 안내서입니다.","충청남도교육청 / 호시담","학생정신건강증진센터","","","","","","","","","","","","","","","","",""
"폭력피해(20번)","3","교사","교육자료","모든 학교","","학교폭력 특별교육 프로그램 운영 PPT","학교폭력 가해학생 대상 특별교육 프로그램 운영 ppt자료(초, 중등)입니다.","충청남도교육청","http://www.cne.go.kr/boardCnts/view.do?boardID=877&boardSeq=2245587&lev=0&searchType=null&statusYN=W&page=4&s=cne&m=082203&opType=N","","","","","누구나","","","","","","","","","","","",""
"폭력피해(21번)","4","교사","교육자료, 기타","모든 학교","","학교폭력 프로그램 운영 안내서","이 자료는 학교폭력 가해학생의 선도·보호와 예방을 위해 초등학생과 중·고등학생용으로 나누어 치유(4회기)·교육(3회기)·성장(3회기) 단계의 총 10회기(10시간)로 구성한 학교폭력 특별교육 프로그램 활용 안내서입니다. 초등 부록으로 활용 가능한 영상자료 목록도 포함되어 있습니다.","충청남도교육청","http://www.cne.go.kr/boardCnts/view.do?boardID=877&boardSeq=2245581&lev=0&searchType=null&statusYN=W&page=4&s=cne&m=082203&opType=N","2020~2024","","","","누구나","","","","","","","","","","","",""
"위기(47번)","5","교사","기타, 심리검사","모든 학교","","학생 위기관리 안내서","해당 안내서는 학생의 자해·자살 위험 사안 발생 시 학교의 기능을 유지하고, 신속하게 대응·지원할 수 있도록 처리 절차, 위기 관리 방법, 각종 서식 등을 정리한 지침서입니다.","충청남도교육청","http://www.cne.go.kr/boardCnts/view.do?boardID=877&boardSeq=2201074&lev=0&searchType=null&statusYN=W&page=5&s=cne&m=082203&opType=N","2020~2024","","","","누구나","","","","","","","","","","","",""
"위기(48번)","6","교사","교육자료","초등","","학생상담길라잡이-불안,자해(초등)","교실 내 초등학생의 자해·자살 행동 특징과 지원 방법을 다룬 PPT 자료입니다. 슬라이드 19쪽부터 활용 바라며, 학생의 위험 신호 포착과 교실 내 지도, 보호자와의 대화 방법 및 관련 기관 안내가 포함되어 있으며, 슬라이드 내 영상과 동영상 강의는 충청남도교육청 유튜브에서 시청할 수 있습니다.","충청남도교육청","학생생활자료실","2020~2024","","","","누구나","","","","","","","","","","","",""
"","","교사","동영상","초등","","학생상담길라잡이-자해(초등)","","충청남도교육청","[학생상담 길라잡이] 6.자해 (초등, 교사용) - YouTube","2020~2024","","","","누구나","","","","","","","","","","","",""
"위기(49번)","7","교사","교육자료","중등(중,고)","","학생상담길라잡이-불안,자해(중등)","교실 내 중학생의 자해·자살 행동 특징과 지원 방법을 다룬 PPT 자료입니다. 슬라이드 22쪽부터 활용 바라며, 학생의 위험 신호 포착과 교실 내 지도, 보호자와의 대화 방법 및 관련 기관 안내가 포함되어 있으며, 슬라이드 내 영상과 동영상 강의는 충청남도교육청 유튜브에서 시청할 수 있습니다.","충청남도교육청","학생생활자료실","2020~2024","","","","누구나","","","","","","","","","","","",""
"","","교사","동영상","중등(중,고)","","학생상담길라잡이-자해(중등)","","충청남도교육청","[학생상담 길라잡이] 6. 자해 (중등, 교사용) - YouTube","2020~2024","","","","누구나","","","","","","","","","","","",""
"위기(50번)","8","보호자","교육자료","초등","","학생상담길라잡이-불안,자해(초등)","초등학생 자녀의 자해·자살 행동 특징과 가정 내 대처법을 다룬 PPT 자료입니다. 슬라이드 19쪽부터 활용 바라며, 자녀의 위험 신호 관찰, 가정 내 대처 및 일상 소통, 교사와의 협력 방법, 관련 기관 안내가 포함되어 있으며, 슬라이드 내 영상과 동영상 강의는 충청남도교육청 유튜브에서 시청할 수 있습니다.","충청남도교육청","학생생활자료실","2020~2024","","","","누구나","","","","","","","","","","","",""
"","","보호자","동영상","초등","","학생상담길라잡이-자해(초등)","","충청남도교육청","[학생상담 길라잡이] 6. 자해 (초등, 학부모용) - YouTube","2020~2024","","","","누구나","","","","","","","","","","","",""
"위기(51번)","9","보호자","교육자료","중등(중,고)","","학생상담길라잡이-불안,자해(중등)","중학생 자녀의 자해·자살 행동 특징과 가정 내 대처법을 다룬 PPT 자료입니다. 슬라이드 29쪽부터 활용 바라며, 자녀의 위험 신호 관찰, 가정 내 대처 및 일상 소통, 교사와의 협력 방법, 관련 기관 안내가 포함되어 있으며, 슬라이드 내 영상과 동영상 강의는 충청남도교육청 유튜브에서 시청할 수 있습니다.","충청남도교육청","학생생활자료실","2020~2024","","","","누구나","","","","","","","","","","","",""
"","","보호자","동영상","중등(중,고)","","학생상담길라잡이-자해(중등)","","충청남도교육청","[학생상담 길라잡이] 6. 자해 (중등, 학부모용) - YouTube","2020~2024","","","","누구나","","","","","","","","","","","",""
"위기(52번)","10","교사","기타","모든 학교","","생명존중 및 자살예방 교직원 안내 자료(리플릿)","충청남도교육청에서 제작한 자료로 교직원이 학생의 자살 위험 신호를 조기에 포착하고 위기 발생 시 체계적으로 대응할 수 있도록 돕는 안내자료입니다. 징후 발견 대처법, 사안 발생 시 보고 절차와 대상별(친구·교직원·학부모·언론) 대응 방법, 그리고 학교·가정·Wee센터의 역할 분담과 위기 상담전화 번호를 소개합니다.","충청남도교육청","학생생활자료실","2015~2019","","","","누구나","","","","","","","","","","","",""
"폭력피해(22번)","11","교사","교육자료, 활동지","모든 학교","초등 저학년, 초등 고학년, 중학교, 고등학교","마음나무 키우기","이 자료는 학생들 간 친밀감 형성 및 관계 갈등 회복을 위해 초등학생(저학년, 고학년)·중학생·고등학생용으로 나누어 관계 새싹 틔우기(4회기)·관계새싹 키우기(4회기)·관계 열매 맺기(4회기) 단계의 총 12회기로 구성한 집단활동 프로그램입니다.
","충청남도교육청","학생생활자료실","2020~2024","없음","","","누구나","","","","","","","","","","","",""
"","12","학생, 교사","카드뉴스 및 뉴스레터, 활동지","모든 학교","","사회정서교육 카드뉴스 및 활동지-마음건강 인식 및 관리(학생용,교사용)","마음 상태를 알아차리고, 돌보며, 필요한 순간 도움을 받을 수 있는 전문 기관을 안내하는 카드뉴스 및 활동지입니다. 교사용·학생용으로 구분된 활동지를 통해 일상 속에서 마음 건강을 직접 실천할 수 있습니다","충청남도교육청","학생정신건강증진센터","2025~","없음","","","누구나","","","","","","","","","","","",""
"","10","","","","","","","","","","","","","","","","","","","","","","","","",""
"","10","","","","","","","","","","","","","","","","","","","","","","","","",""
"","10","","","","","","","","","","","","","","","","","","","","","","","","",""
