"중복관련표기","연번","사용대상","유형별","학교급","학교급-하위","자료명","자료소개(자료 내 문장 활용)","발행기관","자료링크","발행연도","연계자료 여부","연계자료 연번 ","연계자료 대상","자료활용자","자료활용자(주의사항 및 참고사항 표기)","연계자료가 있는경우, 행추가하여 바로 아래 행에 기록바랍니다!
연번란은 비워두면 제가 1-1,1-2 순으로 정리하겠습니다.","","","","","","","","","","","",""
"","1","누구나","카드뉴스 및 뉴스레터","모든 학교","","스스로를 지키는 안정화 기법","재난경험자의 심리적 어려움 완화에 도움을 주는 카드뉴스와 포스터 자료입니다.
국문과 영문으로 구성되어 있으며 심호흡(8종), 착지기법(8종)의 내용이 담겨 있습니다. ","국가트라우마센터","https://www.nct.go.kr/serviceCenter/noticeDetail.do?refnceSeq=1079","2025~","없음","","","누구나","","","","","","","","","","","","","",""
"","2","학생","심리검사","모든 학교","중학교, 고등학교, 초등 고학년","청소년 위기스크리닝 척도개정","연구논문 페이지 기준 108쪽부터 활용바랍니다.
청소년의 위기여부를 파악하고 위기상황을 신속히 인지하기 위해 개정된 자료 입니다.","한국청소년상담복지개발원","https://www.kyci.or.kr/fileup/lib_pdf/2.%20%EC%B2%AD%EC%86%8C%EB%85%84%20%EC%9C%84%EA%B8%B0%EC%8A%A4%ED%81%AC%EB%A6%AC%EB%8B%9D%20%EC%B2%99%EB%8F%84%20%EA%B0%9C%EC%A0%95.pdf","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"사후안정화(4번)","3","누구나","심리검사","모든 학교","","고위기학생 선별 도구 모음","자살,PTSD,우울, 불안 관련 선별도구 모음 자료 입니다.
자살요인(학생,8~19세), PTSD(아동 및 보호자, 청소년)으로 구성되어 있습니다. ","서울Weepl","https://weepl.sen.go.kr/heartinfo/dataInfoDetail.do?mindHlthInfoNo=197&orderBy=FRST_JOB_DT&searchOption=titleContent&searchWord=&contsType=&mtCd=&htnCdList=","2020~2024","없음","","","누구나","결과 확인 후 정서지원 필요 시 전문상담인력과 협의 바랍니다.","","","","","","","","","","","","",""
"","4","교사","심리검사","모든 학교","","","","","","","","","","","","","","","","","","","","","","","",""
"","5","보호자","동영상","모든 학교","","청소년 정서성장 토크콘서트 1부","위기 상황에 놓인 자녀를 이해하고, 건강한 소통과 올바른 훈육 방법을 배우며 부모의 마음까지 함께 돌보는 학부모 대상 생명존중교육 동영상입니다.","서울특별시교육청
(서울Weepl 탑재)","https://weepl.sen.go.kr/heartinfo/videoInfoDetail.do?mindHlthInfoNo=206&orderBy=FRST_JOB_DT&searchOption=titleContent&searchWord=&contsType=&mtCd=&htnCdList=","2025~","없음","","","누구나","","","","","","","","","","","","","",""
"","6","보호자","동영상","모든 학교","","청소년 정서성장 토크콘서트 2부","사춘기 자녀와의 소통, 감정 표현, 이성 교제와 시험 불안 등 부모가 자주 겪는 고민을 살펴보고 상황별로 자녀의 마음을 이해하고 적절히 대화하는 방법을 배우는 학부모 대상 생명존중교육 동영상입니다.","서울특별시교육청
(서울Weepl 탑재)","https://weepl.sen.go.kr/heartinfo/videoInfoDetail.do?mindHlthInfoNo=207&orderBy=FRST_JOB_DT&searchOption=titleContent&searchWord=&contsType=&mtCd=&htnCdList=","2025~","없음","","","누구나","","","","","","","","","","","","","",""
"","7","보호자","교육자료","모든 학교","","청소년 보호자를 위한 마음여행 안내서_보호자 가이드(리플릿)","유니세프 한국위원회에서 발간한 청소년 보호자를 위한 마음건강 안내 자료로, 청소년기의 정서적 특성과 보호자의 역할을 이해하고 아이의 마음건강을 지원하는 방법을 안내하는 교육자료입니다.","유니세프
(서울Weepl 탑재)","https://weepl.sen.go.kr/heartinfo/dataInfoDetail.do?mindHlthInfoNo=204&orderBy=FRST_JOB_DT&searchOption=titleContent&searchWord=&contsType=&mtCd=&htnCdList=","2025~","없음","","","누구나","","","","","","","","","","","","","",""
"","8","보호자","활동지","모든 학교","","나를 찾는 마음여행_보호자를 위한 마음여행 안내서(워크북)","유니세프와 세계보건기구가 개발한 자료를 국내 상황에 맞게 재구성한 것으로, 청소년에 대한 올바른 이해와 보호자·자녀 간 유대감 형성을 돕고 22개의 활동을 통해 보호자 자신의 마음건강과 양육을 돌아볼 수 있도록 구성한 교육자료입니다.","유니세프
(서울Weepl 탑재)","https://weepl.sen.go.kr/heartinfo/dataInfoDetail.do?mindHlthInfoNo=205&orderBy=FRST_JOB_DT&searchOption=titleContent&searchWord=&contsType=&mtCd=&htnCdList=","2025~","없음","","","누구나","","","","","","","","","","","","","",""
"사후안정화(5번)","9","학생","동영상","모든 학교","초등 저학년, 초등 고학년, 중학교, 고등학교","사회정서교육 영상자료(감정을 조절하는 자세 및 호흡법)","바디스캔, 나비포옹법, 근육이완법과 다양한 호흡법을 직접 따라 하며 긴장된 몸과 마음을 안정시키고 감정을 조절하는 방법을 익히는 동영상 교육자료입니다.","서울Weepl","https://weepl.sen.go.kr/heartinfo/dataInfoDetail.do?mindHlthInfoNo=201&orderBy=FRST_JOB_DT&searchOption=titleContent&searchWord=&contsType=&mtCd=&htnCdList=","2025~","없음","","","전문인력","","","","","","","","","","","","","",""
"","10","학생","동영상","모든 학교","초등 저학년, 초등 고학년, 중학교, 고등학교","사회정서교육 영상자료(내 마음 관리법)","자신의 마음건강 상태를 점검하고, 정신건강의학과의 도움이 필요한 시점을 알아보며 도움을 요청할 수 있는 전문기관과 이용 방법을 안내하는 동영상 교육자료입니다.","서울Weepl","https://weepl.sen.go.kr/heartinfo/dataInfoDetail.do?mindHlthInfoNo=203&orderBy=FRST_JOB_DT&searchOption=titleContent&searchWord=&contsType=&mtCd=&htnCdList=","2025~","없음","","","전문인력","","","","","","","","","","","","","",""
