"중복관련표기","연번","사용대상","유형별","학교급","학교급-하위","자료명","자료소개(자료 내 문장 활용)","발행기관","자료링크","발행연도","연계자료 여부","연계자료 연번 ","연계자료 대상","자료활용자","자료활용자(주의사항 및 참고사항 표기)","연계자료가 있는경우, 행추가하여 바로 아래 행에 기록바랍니다!
연번란은 비워두면 제가 1-1,1-2 순으로 정리하겠습니다.","","","","","","","","","","","",""
"","1","보호자, 교사","기타","모든 학교","","학교폭력피해학생 맞춤형 지원 안내서","학교폭력 피해학생 맞춤형 지원을 위한 절차 흐름 및 지원기관 안내하는 자료입니다. 
기타 학교폭력 이해 및 신고, 사안처리 관련 내용도 포함하고 있습니다. ","교육부/한국교육개발원","https://www.wee.go.kr/board/view?&menuKey=Nkf0nC3AjF&bbsId=BOARD00015&schType=0&schText=&boardStyle=&ctgryNo=&cntntNm=&pstOtptCnt=0&ntnNm=&pageNum=1&rowCnt=10&no1=9&regNo=ndM6ZwuFKA","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"사후안정화(3번)","2","학생","심리검사","모든 학교","","아동청소년 재난 정신건강 평가도구집","심리적 외상 이후 지원이 필요한 고위기 학생 선별을 위해 사용 가능한 도구 모음집","국가트라우마센터
(서울시Weepl탑재)","https://weepl.sen.go.kr/heartinfo/dataInfoDetail.do?mindHlthInfoNo=209&orderBy=FRST_JOB_DT&searchOption=titleContent&searchWord=&contsType=&mtCd=&htnCdList=","2020~2024","","","","누구나","결과 확인 후 정서지원 필요 시 전문상담인력과 협의 바랍니다.","","","","","","","","","","","","",""
"","3","누구나","심리검사","모든 학교","","마음건강검사","아동, 청소년, 성인을 대상으로 하는 마음건강검사 입니다.
링크접속하여 검사실시 및 결과 확인이 가능합니다.","서울Weepl","https://weepl.sen.go.kr/heartTest/heartTestMain.do","2025~","없음","","","누구나","결과 확인 후 정서지원 필요 시 전문상담인력과 협의 바랍니다.","","","","","","","","","","","","",""
"","4","교사","동영상","모든 학교","","아동학대에 관해 학대받은 아동과 이야기하기","교사를 위한 아동학대 대처 및 회복지원연수 중 8차시 해당 내용입니다.
교사대상 동영상 교육자료입니다.","교육부지원학생정신건강지원센터","https://www.youtube.com/watch?v=kQtiGRawMLY","2015~2019","없음","","","누구나","","","","","","","","","","","","","",""
"","5","교사","기타, 교육자료, 심리검사","모든 학교","","학교폭력 피해학생 지원 길잡이","피해 초기 부터 추수 관리까지 체계적인 맞춤형 보호 및 지원을 안내하는 자료입니다. 
피해학생 전담지원기관, 학교폭력 피해지원 프로그램(개인 및 집단상담,  교육, 보호자 등), 심리검사 자료 등을 제공합니다.","교육부/ 한국교육개발원","https://www.wee.go.kr/board/view?&menuKey=Nkf0nC3AjF&bbsId=BOARD00015&schType=0&schText=&boardStyle=&ctgryNo=&cntntNm=&pstOtptCnt=0&ntnNm=&pageNum=2&rowCnt=10&no1=14&regNo=1NKcAaV022","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"","6","교사","기타","모든 학교","","학교폭력 가해학생 특별교육 길잡이","학교폭력 가해학생 특별교육의 이해, 관리 및 지원, 운영기관에서의 실제 및 적용방안을 종합적으로 안내하는 길잡이 자료입니다.","교육부/ 한국교육개발원","https://www.wee.go.kr/board/view?&menuKey=Nkf0nC3AjF&bbsId=BOARD00015&schType=0&schText=&boardStyle=&ctgryNo=&cntntNm=&pstOtptCnt=0&ntnNm=&pageNum=2&rowCnt=10&no1=15&regNo=VO6Wd6JauN","2020~2024","없음","","","누구나","","","","","","","","","","","","","",""
"","7","교사","기타","모든 학교","","학교폭력 피해학생 전담지원기관 운영 가이드라인","전국 학교폭력 피해학생 전담지원기관의 운영에 대한 기본 안내자료입니다. 
학교폭력 피해학생 전담지원기관의 추진배경과 법적 근거, 피해 학생 및 보호자 대상 프로그램 운영의 실제, 전국의 기관 현황과 각종 양식, 운영의 실제가 수록되어 있습니다.","교육부/ 한국교육개발원","https://www.wee.go.kr/board/view?&menuKey=Nkf0nC3AjF&bbsId=BOARD00015&schType=0&schText=&boardStyle=&ctgryNo=&cntntNm=&pstOtptCnt=0&ntnNm=&pageNum=3&rowCnt=10&no1=21&regNo=w9ZkzFs872","2015~2019","없음","","","전문인력","","","","","","","","","","","","","",""
"","8","교사","동영상","모든 학교","","아동학대를 비롯한 대인관계 폭력을 예방할 수 있는 경계존중 교육","아동학대와 대인관계 폭력을 예방하기 위한 경계 존중의 의미와 중요성을 이해하고,자신과 타인의 경계를 존중하며 안전한 관계를 형성하는 방법을 배우는 교사 대상 동영상 교육자료입니다.","교육부지원학생정신건강지원센터","https://www.youtube.com/watch?v=Tdca1SpjA-I","2015~2019","없음","","","누구나","","","","","","","","","","","","","",""
"","9","교사","기타","모든 학교","","2023 아동학대 예방 및 대처요령 교육부문 가이드북","교육부에서 발간한 자료로, 아동학대 예방과 사안 발생 시 대응 절차, 변화된 교육 지원방안 등 교육현장에서 아동의 안전과 보호를 위해 활용할 수 있는 다양한 정보를 담은 참고자료입니다.","교육부/한국교육개발원
(서울특별시교육청 탑재)","https://buseo.sen.go.kr/buseo/bu15/user/bbs/BD_selectBbs.do?q_rowPerPage=10&q_currPage=16&q_sortName=&q_sortOrder=&q_searchKeyTy2=1005&q_searchStartDt=&q_searchEndDt=&q_bbsSn=1331&q_bbsDocNo=20230525135838719&q_searchKeyTy=ttl___1002&q_searchVal=&","2020~2024","없음","","","전문인력","","","","","","","","","","","","","",""
"","10","교사","교육자료","초등","초등 저학년, 초등 고학년","학교폭력 피해학생 치유회복 프로그램(초등용)","학교폭력 피해 초등학생의 치유·회복을 위해 인지·정서·행동 영역의 보호요인을 강화하는 총 12회기 상담 프로그램입니다.
[자아존중감·감정조절, 자기효능감·내적통제·인지도식, 자기표현·자기주장·대화기술] 등의 핵심 주제를 조합해 모듈식(최소 5회기 이상 권장)으로 운영할 수 있습니다.","교육부/ 한국청소년정책연구원
(경기도 온마음터 탑재)","https://on-maum.or.kr/bbs/board.php?bo_table=files_a&wr_id=11","2025~","없음","","","전문인력","","","","","","","","","","","","","",""
